Date,SET,Value,Modern,Internet,2D
9/17/2025,1310.16,26515.14,76,49,65
9/17/2025,1306.69,48098.33,45,58,98
9/18/2025,1299.96,26555.73,10,15,65
9/18/2025,1297.01,44929.51,88,98,19
9/19/2025,1295.38,18408.01,40,39,88
9/19/2025,1292.72,47981.93,35,38,21
9/22/2025,1287.67,16707.97,06,66,77
9/22/2025,1282.54,31595.35,70,17,45
9/23/2025,1281.04,19023.32,15,59,43
9/23/2025,1273.20,40147.95,13,18,07
9/24/2025,1277.32,22905.69,99,88,25
9/24/2025,1278.41,38563.93,21,84,13
9/25/2025,1286.43,18751.10,39,99,31
9/25/2025,1288.26,35348.54,31,34,68
9/26/2025,1285.66,17100.94,76,87,60
9/26/2025,1278.74,36245.78,26,60,45
9/29/2025,1282.84,17354.32,63,13,44
9/29/2025,1288.07,37860.62,97,41,70
9/30/2025,1280.38,21646.38,64,51,86
9/30/2025,1274.17,49548.34,05,59,78
10/1/2025,1279.10,20794.71,14,92,04
10/1/2025,1275.03,35487.18,40,01,37
10/2/2025,1290.66,20422.53,57,60,62
10/2/2025,1288.29,35286.71,32,42,96
10/3/2025,1292.45,18365.65,98,43,55
10/3/2025,1293.61,35659.08,62,49,19
10/6/2025,1291.72,18889.13,30,03,29
10/6/2025,1285.64,33100.46,40,95,40
10/7/2025,1301.20,20315.99,97,62,05
10/7/2025,1305.24,34987.28,76,24,47
10/8/2025,1306.65,17908.65,97,03,58
10/8/2025,1304.92,37346.56,85,42,26
10/9/2025,1312.24,22205.55,58,03,45
10/9/2025,1313.99,43145.38,84,74,95
10/10/2025,1288.03,20455.89,29,72,35
10/10/2025,1286.98,37692.20,83,96,82
10/14/2025,1276.52,23043.89,85,58,23
10/14/2025,1266.38,42503.92,68,76,83
10/15/2025,1279.59,19664.28,78,82,94
10/15/2025,1286.69,46484.63,89,83,94
10/16/2025,1290.77,20645.38,35,96,75
10/16/2025,1291.46,33202.91,15,59,62
10/17/2025,1284.21,18520.04,22,48,10
10/17/2025,1274.61,36760.70,74,29,10
10/20/2025,1287.07,14205.37,54,85,75
10/20/2025,1284.47,26555.65,06,60,75
10/21/2025,1288.59,18219.39,65,85,99
10/21/2025,1290.72,34370.82,34,84,20
10/22/2025,1298.07,25044.04,15,28,74
